"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2008","Czechia","65 years or over","Age reached during the year","Unknown","Number","Total","0",""
"2008","Denmark","Total","Age reached during the year","Total","Number","Total","57 357",""
"2008","Denmark","Total","Age reached during the year","Reporting country","Number","Total","15 417",""
"2008","Denmark","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Denmark","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Denmark","Total","Age reached during the year","Unknown","Number","Total","572",""
"2008","Denmark","From 10 to 14 years","Age reached during the year","Total","Number","Total","2 015",""
"2008","Denmark","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","753",""
"2008","Denmark","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Denmark","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Denmark","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","15",""
"2008","Denmark","From 15 to 64 years","Age reached during the year","Total","Number","Total","48 162",""
"2008","Denmark","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Denmark","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Denmark","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Denmark","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Denmark","65 years or over","Age reached during the year","Total","Number","Total","677",""
"2008","Denmark","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Denmark","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Denmark","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Denmark","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Total","682 146",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Reporting country","Number","Total","89 021",""
