"TIME","GEO","PROJECTION","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2025","France","Baseline projections","Person","Total","Total","68 036 808",""
"2025","Croatia","Baseline projections","Person","Total","Total","3 936 509",""
"2025","Hungary","Baseline projections","Person","Total","Total","9 697 220",""
"2025","Ireland","Baseline projections","Person","Total","Total","5 272 930",""
"2025","Iceland","Baseline projections","Person","Total","Total","395 636",""
"2025","Italy","Baseline projections","Person","Total","Total","60 088 529",""
"2025","Liechtenstein","Baseline projections","Person","Total","Total","39 921",""
"2025","Lithuania","Baseline projections","Person","Total","Total","2 707 915",""
"2025","Luxembourg","Baseline projections","Person","Total","Total","662 364",""
"2025","Latvia","Baseline projections","Person","Total","Total","1 815 550",""
"2025","Malta","Baseline projections","Person","Total","Total","557 426",""
"2025","Netherlands","Baseline projections","Person","Total","Total","17 751 055",""
"2025","Norway","Baseline projections","Person","Total","Total","5 568 543",""
"2025","Poland","Baseline projections","Person","Total","Total","37 567 248",""
"2025","Portugal","Baseline projections","Person","Total","Total","10 220 601",""
"2025","Romania","Baseline projections","Person","Total","Total","18 507 547",""
"2025","Sweden","Baseline projections","Person","Total","Total","10 746 886",""
"2025","Slovenia","Baseline projections","Person","Total","Total","2 114 603",""
"2025","Slovakia","Baseline projections","Person","Total","Total","5 467 891",""
"2030","Austria","Baseline projections","Person","Total","Total","9 149 001",""
"2030","Belgium","Baseline projections","Person","Total","Total","11 757 990",""
"2030","Bulgaria","Baseline projections","Person","Total","Total","6 450 296",""
"2030","Switzerland","Baseline projections","Person","Total","Total","9 076 646",""
"2030","Cyprus","Baseline projections","Person","Total","Total","962 854",""
"2030","Czechia","Baseline projections","Person","Total","Total","10 762 174",""
"2030","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","83 453 697",""
"2030","Denmark","Baseline projections","Person","Total","Total","5 963 578",""
"2030","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","346 572 956",""
"2030","Estonia","Baseline projections","Person","Total","Total","1 308 435",""
"2030","Greece","Baseline projections","Person","Total","Total","10 303 200",""
"2030","Spain","Baseline projections","Person","Total","Total","48 746 399",""
"2030","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","449 121 599",""
"2030","Finland","Baseline projections","Person","Total","Total","5 519 298",""
"2030","France","Baseline projections","Person","Total","Total","68 749 400",""
"2030","Croatia","Baseline projections","Person","Total","Total","3 828 089",""
"2030","Hungary","Baseline projections","Person","Total","Total","9 619 020",""
"2030","Ireland","Baseline projections","Person","Total","Total","5 504 390",""
"2030","Iceland","Baseline projections","Person","Total","Total","416 990",""
"2030","Italy","Baseline projections","Person","Total","Total","59 942 512",""
"2030","Liechtenstein","Baseline projections","Person","Total","Total","41 016",""
"2030","Lithuania","Baseline projections","Person","Total","Total","2 575 553",""
"2030","Luxembourg","Baseline projections","Person","Total","Total","692 722",""
"2030","Latvia","Baseline projections","Person","Total","Total","1 712 746",""
"2030","Malta","Baseline projections","Person","Total","Total","588 691",""
"2030","Netherlands","Baseline projections","Person","Total","Total","17 969 884",""
"2030","Norway","Baseline projections","Person","Total","Total","5 765 319",""
"2030","Poland","Baseline projections","Person","Total","Total","37 018 453",""
"2030","Portugal","Baseline projections","Person","Total","Total","10 089 138",""
"2030","Romania","Baseline projections","Person","Total","Total","17 808 000",""
"2030","Sweden","Baseline projections","Person","Total","Total","11 099 033",""
"2030","Slovenia","Baseline projections","Person","Total","Total","2 106 316",""
"2030","Slovakia","Baseline projections","Person","Total","Total","5 440 730",""
"2035","Austria","Baseline projections","Person","Total","Total","9 232 708",""
"2035","Belgium","Baseline projections","Person","Total","Total","11 835 820",""
"2035","Bulgaria","Baseline projections","Person","Total","Total","6 224 049",""
"2035","Switzerland","Baseline projections","Person","Total","Total","9 318 554",""
"2035","Cyprus","Baseline projections","Person","Total","Total","990 814",""
"2035","Czechia","Baseline projections","Person","Total","Total","10 694 436",""
"2035","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","83 318 670",""
"2035","Denmark","Baseline projections","Person","Total","Total","6 018 816",""
"2035","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","347 098 460",""
"2035","Estonia","Baseline projections","Person","Total","Total","1 294 043",""
"2035","Greece","Baseline projections","Person","Total","Total","10 104 622",""
"2035","Spain","Baseline projections","Person","Total","Total","49 110 869",""
