"TIME","GEO","AGE","AGEDEF","UNIT","Value","Flag and Footnotes"
"1962","Belgium","Total","Age in completed years","Number","2.59189",""
"1962","Bulgaria","Total","Age in completed years","Number","2.24137",""
"1962","Belarus","Total","Age in completed years","Number",":",""
"1962","Switzerland","Total","Age in completed years","Number","2.58157",""
"1962","Cyprus","Total","Age in completed years","Number",":",""
"1962","Czechia","Total","Age in completed years","Number","2.11970",""
"1962","Germany including former GDR","Total","Age in completed years","Number",":",""
"1962","Denmark","Total","Age in completed years","Number","2.54984",""
"1962","Estonia","Total","Age in completed years","Number","1.95475",""
"1962","Greece","Total","Age in completed years","Number","2.16362",""
"1962","Spain","Total","Age in completed years","Number",":",""
"1962","Finland","Total","Age in completed years","Number","2.68405",""
"1962","France","Total","Age in completed years","Number",":",""
"1962","Georgia","Total","Age in completed years","Number",":",""
"1962","Croatia","Total","Age in completed years","Number",":",""
"1962","Hungary","Total","Age in completed years","Number","1.79209",""
"1962","Ireland","Total","Age in completed years","Number","3.91829",""
"1962","Iceland","Total","Age in completed years","Number",":",""
"1962","Italy","Total","Age in completed years","Number","2.44062",""
"1962","Liechtenstein","Total","Age in completed years","Number",":",""
"1962","Lithuania","Total","Age in completed years","Number",":",""
"1962","Luxembourg","Total","Age in completed years","Number",":",""
"1962","Latvia","Total","Age in completed years","Number",":",""
"1962","Moldova","Total","Age in completed years","Number",":",""
"1962","Montenegro","Total","Age in completed years","Number",":",""
"1962","North Macedonia","Total","Age in completed years","Number",":",""
"1962","Malta","Total","Age in completed years","Number",":",""
"1962","Netherlands","Total","Age in completed years","Number","3.17516",""
"1962","Norway","Total","Age in completed years","Number","2.91274",""
"1962","Poland","Total","Age in completed years","Number",":",""
"1962","Portugal","Total","Age in completed years","Number","3.23406",""
"1962","Romania","Total","Age in completed years","Number",":",""
"1962","Serbia","Total","Age in completed years","Number",":",""
"1962","Russia","Total","Age in completed years","Number",":",""
"1962","Sweden","Total","Age in completed years","Number",":",""
"1962","Slovenia","Total","Age in completed years","Number",":",""
"1962","Slovakia","Total","Age in completed years","Number","2.83163",""
"1962","San Marino","Total","Age in completed years","Number",":",""
"1962","Turkey","Total","Age in completed years","Number",":",""
"1962","Ukraine","Total","Age in completed years","Number",":",""
"1962","United Kingdom","Total","Age in completed years","Number",":",""
"1962","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1963","Andorra","Total","Age in completed years","Number",":",""
"1963","Albania","Total","Age in completed years","Number",":",""
"1963","Armenia","Total","Age in completed years","Number",":",""
"1963","Austria","Total","Age in completed years","Number","2.81888",""
"1963","Azerbaijan","Total","Age in completed years","Number",":",""
"1963","Belgium","Total","Age in completed years","Number","2.68091",""
"1963","Bulgaria","Total","Age in completed years","Number","2.21121",""
"1963","Belarus","Total","Age in completed years","Number",":",""
"1963","Switzerland","Total","Age in completed years","Number","2.64950",""
"1963","Cyprus","Total","Age in completed years","Number",":",""
"1963","Czechia","Total","Age in completed years","Number","2.31063",""
"1963","Germany including former GDR","Total","Age in completed years","Number",":",""
"1963","Denmark","Total","Age in completed years","Number","2.66888",""
"1963","Estonia","Total","Age in completed years","Number","1.89107",""
"1963","Greece","Total","Age in completed years","Number","2.13625",""
"1963","Spain","Total","Age in completed years","Number",":",""
"1963","Finland","Total","Age in completed years","Number","2.68408",""
"1963","France","Total","Age in completed years","Number",":",""
"1963","Georgia","Total","Age in completed years","Number",":",""
"1963","Croatia","Total","Age in completed years","Number",":",""
"1963","Hungary","Total","Age in completed years","Number","1.82055",""
"1963","Ireland","Total","Age in completed years","Number","4.01325",""
"1963","Iceland","Total","Age in completed years","Number","3.99323",""
"1963","Italy","Total","Age in completed years","Number","2.50083",""
"1963","Liechtenstein","Total","Age in completed years","Number",":",""
"1963","Lithuania","Total","Age in completed years","Number",":",""
"1963","Luxembourg","Total","Age in completed years","Number",":",""
"1963","Latvia","Total","Age in completed years","Number",":",""
"1963","Moldova","Total","Age in completed years","Number",":",""
"1963","Montenegro","Total","Age in completed years","Number",":",""
"1963","North Macedonia","Total","Age in completed years","Number",":",""
"1963","Malta","Total","Age in completed years","Number",":",""
"1963","Netherlands","Total","Age in completed years","Number","3.19201",""
"1963","Norway","Total","Age in completed years","Number","2.92573",""
"1963","Poland","Total","Age in completed years","Number",":",""
"1963","Portugal","Total","Age in completed years","Number","3.12253",""
"1963","Romania","Total","Age in completed years","Number",":",""
"1963","Serbia","Total","Age in completed years","Number",":",""
"1963","Russia","Total","Age in completed years","Number",":",""
"1963","Sweden","Total","Age in completed years","Number",":",""
"1963","Slovenia","Total","Age in completed years","Number",":",""
"1963","Slovakia","Total","Age in completed years","Number","2.92278",""
"1963","San Marino","Total","Age in completed years","Number",":",""
"1963","Turkey","Total","Age in completed years","Number",":",""
"1963","Ukraine","Total","Age in completed years","Number",":",""
"1963","United Kingdom","Total","Age in completed years","Number",":",""
"1963","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1964","Andorra","Total","Age in completed years","Number",":",""
"1964","Albania","Total","Age in completed years","Number",":",""
"1964","Armenia","Total","Age in completed years","Number",":",""
"1964","Austria","Total","Age in completed years","Number","2.79138",""
"1964","Azerbaijan","Total","Age in completed years","Number",":",""
"1964","Belgium","Total","Age in completed years","Number","2.71210",""
"1964","Bulgaria","Total","Age in completed years","Number","2.18520",""
"1964","Belarus","Total","Age in completed years","Number",":",""
"1964","Switzerland","Total","Age in completed years","Number","2.65641",""
"1964","Cyprus","Total","Age in completed years","Number",":",""
"1964","Czechia","Total","Age in completed years","Number","2.33898",""
"1964","Germany including former GDR","Total","Age in completed years","Number",":",""
"1964","Denmark","Total","Age in completed years","Number","2.60036",""
"1964","Estonia","Total","Age in completed years","Number","1.93735",""
"1964","Greece","Total","Age in completed years","Number","2.24048",""
"1964","Spain","Total","Age in completed years","Number",":",""
"1964","Finland","Total","Age in completed years","Number","2.59429",""
"1964","France","Total","Age in completed years","Number",":",""
"1964","Georgia","Total","Age in completed years","Number",":",""
"1964","Croatia","Total","Age in completed years","Number",":",""
"1964","Hungary","Total","Age in completed years","Number","1.81538",""
"1964","Ireland","Total","Age in completed years","Number","4.06884",""
"1964","Iceland","Total","Age in completed years","Number","3.88044",""
"1964","Italy","Total","Age in completed years","Number","2.65183",""
"1964","Liechtenstein","Total","Age in completed years","Number",":",""
"1964","Lithuania","Total","Age in completed years","Number",":",""
"1964","Luxembourg","Total","Age in completed years","Number",":",""
"1964","Latvia","Total","Age in completed years","Number",":",""
"1964","Moldova","Total","Age in completed years","Number",":",""
"1964","Montenegro","Total","Age in completed years","Number",":",""
"1964","North Macedonia","Total","Age in completed years","Number",":",""
"1964","Malta","Total","Age in completed years","Number",":",""
"1964","Netherlands","Total","Age in completed years","Number","3.16504",""
"1964","Norway","Total","Age in completed years","Number","2.97965",""
"1964","Poland","Total","Age in completed years","Number",":",""
"1964","Portugal","Total","Age in completed years","Number","3.21350",""
"1964","Romania","Total","Age in completed years","Number",":",""
"1964","Serbia","Total","Age in completed years","Number",":",""
"1964","Russia","Total","Age in completed years","Number",":",""
"1964","Sweden","Total","Age in completed years","Number",":",""
"1964","Slovenia","Total","Age in completed years","Number",":",""
"1964","Slovakia","Total","Age in completed years","Number","2.89270",""
"1964","San Marino","Total","Age in completed years","Number",":",""
"1964","Turkey","Total","Age in completed years","Number",":",""
"1964","Ukraine","Total","Age in completed years","Number",":",""
"1964","United Kingdom","Total","Age in completed years","Number",":",""
"1964","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1965","Andorra","Total","Age in completed years","Number",":",""
"1965","Albania","Total","Age in completed years","Number",":",""
"1965","Armenia","Total","Age in completed years","Number",":",""
"1965","Austria","Total","Age in completed years","Number","2.69995",""
"1965","Azerbaijan","Total","Age in completed years","Number",":",""
"1965","Belgium","Total","Age in completed years","Number","2.61385",""
"1965","Bulgaria","Total","Age in completed years","Number","2.08798",""
"1965","Belarus","Total","Age in completed years","Number",":",""
"1965","Switzerland","Total","Age in completed years","Number","2.58697",""
"1965","Cyprus","Total","Age in completed years","Number",":",""
"1965","Czechia","Total","Age in completed years","Number","2.17944",""
"1965","Germany including former GDR","Total","Age in completed years","Number",":",""
"1965","Denmark","Total","Age in completed years","Number","2.60898",""
"1965","Estonia","Total","Age in completed years","Number","1.88156",""
"1965","Greece","Total","Age in completed years","Number","2.24586",""
"1965","Spain","Total","Age in completed years","Number",":",""
"1965","Finland","Total","Age in completed years","Number","2.47605",""
"1965","France","Total","Age in completed years","Number",":",""
"1965","Georgia","Total","Age in completed years","Number",":",""
"1965","Croatia","Total","Age in completed years","Number",":",""
"1965","Hungary","Total","Age in completed years","Number","1.82191",""
"1965","Ireland","Total","Age in completed years","Number","4.03569",""
"1965","Iceland","Total","Age in completed years","Number","3.72912",""
"1965","Italy","Total","Age in completed years","Number","2.59296",""
"1965","Liechtenstein","Total","Age in completed years","Number",":",""
"1965","Lithuania","Total","Age in completed years","Number",":",""
"1965","Luxembourg","Total","Age in completed years","Number",":",""
"1965","Latvia","Total","Age in completed years","Number",":",""
"1965","Moldova","Total","Age in completed years","Number",":",""
"1965","Montenegro","Total","Age in completed years","Number",":",""
"1965","North Macedonia","Total","Age in completed years","Number",":",""
"1965","Malta","Total","Age in completed years","Number",":",""
"1965","Netherlands","Total","Age in completed years","Number","3.03825",""
"1965","Norway","Total","Age in completed years","Number","2.94463",""
"1965","Poland","Total","Age in completed years","Number",":",""
"1965","Portugal","Total","Age in completed years","Number","3.14975",""
"1965","Romania","Total","Age in completed years","Number",":",""
"1965","Serbia","Total","Age in completed years","Number",":",""
"1965","Russia","Total","Age in completed years","Number",":",""
"1965","Sweden","Total","Age in completed years","Number",":",""
"1965","Slovenia","Total","Age in completed years","Number",":",""
"1965","Slovakia","Total","Age in completed years","Number","2.78442",""
"1965","San Marino","Total","Age in completed years","Number",":",""
"1965","Turkey","Total","Age in completed years","Number",":",""
"1965","Ukraine","Total","Age in completed years","Number",":",""
"1965","United Kingdom","Total","Age in completed years","Number",":",""
"1965","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Age in completed years","Number",":",""
"1966","Andorra","Total","Age in completed years","Number",":",""
"1966","Albania","Total","Age in completed years","Number",":",""
"1966","Armenia","Total","Age in completed years","Number",":",""
"1966","Austria","Total","Age in completed years","Number","2.65982",""
"1966","Azerbaijan","Total","Age in completed years","Number",":",""
